deltaB 6A1g 4T1gG 4T2gG 4EgG 4A1g 2T2gI 2A2gI 2T1gI 2EgI 2A1gI 4EgD 4A2gF 4T2gD
39.813736 22.397844 18.9123469 26.3379919 54.7959814 54.7959814 0 34.4134331 34.7558091 39.7871048 52.6815891 61.7959814 75.7552363 57.9322305
40.5122223 23.7650687 19.5885809 27.0273248 56.1632061 56.1632061 0 35.0899232 35.4325611 40.4753842 53.3987288 63.1632061 77.122461 59.2947951
41.2107086 25.1329779 20.2652945 27.716603 57.5311153 57.5311153 0 35.7668545 36.1097474 41.1637509 54.1143586 64.5311153 78.4903702 60.6582782
41.9091949 26.501546 20.9424715 28.4058405 58.8996834 58.8996834 0 36.444213 36.7873562 41.8522084 54.8286123 65.8996834 79.8589383 62.0226403
42.6076851 27.870752 21.620099 29.0950512 60.2688894 60.2688894 0 37.1219895 37.465376 42.5407602 55.5416065 67.2688894 81.2281444 63.3878452
43.3061714 29.2405751 22.2981607 29.7842491 61.6387125 61.6387125 0 37.80017 38.1437963 43.2294098 56.2534459 68.6387125 82.5979674 64.753858
44.0046577 30.6109919 22.9766449 30.4734424 63.0091292 63.0091292 0 38.4787439 38.8226042 43.9181595 56.9642247 70.0091292 83.9683842 66.1206461
44.7031441 31.9819849 23.6555378 31.1626438 64.3801222 64.3801222 0 39.1576997 39.5017905 44.6070105 57.6740303 71.3801222 85.3393772 67.4881781
45.4016304 33.3535355 24.3348265 31.8518603 65.7516729 65.7516729 0 39.8370291 40.1813458 45.2959662 58.3829371 72.7516729 86.7109278 68.8564261
46.1001167 34.7256251 25.0145017 32.5411001 67.1237625 67.1237625 0 40.5167206 40.8612596 45.9850279 59.0910163 74.1237625 88.0830175 70.225362
46.7986031 36.0982375 25.6945495 33.2303714 68.4963749 68.4963749 0 41.1967637 41.5415227 46.6741944 59.7983306 75.4963749 89.4556298 71.5949604
47.4970894 37.4713539 26.3749604 33.9196799 69.8694913 69.8694913 0 41.8771513 42.2221246 47.3634692 60.5049383 76.8694913 90.8287462 72.9651967
48.1955757 38.8449616 27.0557229 34.6090303 71.243099 71.243099 0 42.5578719 42.9030582 48.0528498 61.2108906 78.243099 92.2023539 74.3360477
48.894062 40.2190442 27.7368277 35.2984296 72.6171816 72.6171816 0 43.2389185 43.5843132 48.7423388 61.9162363 79.6171816 93.5764366 75.7074913
49.5925484 41.5935867 28.4182643 35.9878801 73.9917241 73.9917241 0 43.9202817 44.2658824 49.4319348 62.6210186 80.9917241 94.950979 77.0795052
50.2910347 42.9685774 29.1000233 36.6773877 75.3667148 75.3667148 0 44.6019534 44.9477579 50.1216368 63.3252782 82.3667148 96.3259697 78.452071
50.989521 44.344 29.7820966 37.3669558 76.7421374 76.7421374 0 45.2839267 45.6299313 50.811447 64.0290512 83.7421374 97.7013923 79.8251688
51.6880112 45.719844 30.464475 38.0565856 78.1179814 78.1179814 0 45.9661921 46.3123946 51.5013632 64.7323714 85.1179814 99.0772363 81.1987811
52.3864975 47.0960955 31.1471502 38.7462817 79.4942328 79.4942328 0 46.6487427 46.9951409 52.1913853 65.4352712 86.4942328 100.453488 82.5728906
53.0849838 48.4727451 31.8301141 39.4360454 80.8708824 80.8708824 0 47.3315716 47.6781641 52.8815111 66.1377765 87.8708824 101.830137 83.9474808
53.7834702 49.8497788 32.5133597 40.1258789 82.2479162 82.2479162 0 48.0146717 48.3614552 53.5717427 66.8399162 89.2479162 103.207171 85.3225367
54.4819565 51.2271874 33.1968778 40.8157846 83.6253248 83.6253248 0 48.6980361 49.0450093 54.2620768 67.5417136 90.6253248 104.58458 86.6980419
55.1804428 52.6049604 33.8806624 41.5057637 85.0030978 85.0030978 0 49.3816601 49.7288196 54.9525134 68.2431921 92.0030978 105.962353 88.0739837
55.8789291 53.9830861 34.5647066 42.1958172 86.3812235 86.3812235 0 50.0655343 50.4128789 55.6430512 68.9443714 93.3812235 107.340478 89.4503469
